title,price,rating,oprice,brand
USM ID116 Smart Watch Smart Bracelet Fitness Tracker Color Screen Smartwatch Heart Rate Blood Pressure Pedometer Sleep Monitor  ,329,4.4,₹329,USM
"boAt Xtend Smartwatch Batman Edition with Alexa Built-in, 1.69” HD Display, Multiple Watch Faces, Stress Monitor, Heart & SpO2 Monitoring, 14 Sports Modes, Sleep Monitor, 5 ATM(Knight Black)  ","1,299",4.1,"₹1,299",boAt
"boAt Flash Edition Smart Watch with Activity Tracker, Multiple Sports Modes, 1.3"" Screen, 170+ Watch Faces, Sleep Monitor, Gesture, Camera & Music Control, IP68 & 7 Days Battery Life(Lightning Black)  ","1,499",4.0,"₹1,499",boAt
"Noise ColorFit Pulse Grand Smart Watch with 1.69""(42.9cm) HD Display, 60 Sports Modes, 150 Watch Faces, Fast Charge, Spo2, Stress, Sleep, Heart Rate Monitoring & IP68 Waterproof (Champagne Grey)  ","1,299",4.0,"₹1,299",Noise
Digital Sports Multi Functional Black Dial Watch for Mens Boys -315RED  ,284,3.8,₹284,Shocknshop
Silicone Strap Analog Wrist Watch for Men (Black/Blue/Red) | LD-BK054  ,397,4.0,₹397,LOUIS DEVIN
"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with Bluetooth Calling, AI Voice Assistance, 100 Sports Modes IP67 Rating, 240 * 280 Pixel High Resolution  ","1,799",4.3,"₹1,799",Fire-Boltt
SHREENOVA® ID116 Plus Bluetooth Fitness Smart Watch for Men Women and Kids Activity Tracker (Black)  ,399,3.1,₹399,Generic
"boAt Wave Prime47 Smart Watch with 1.69"" HD Display, 700+ Active Modes, ASAP Charge, Live Cricket Scores, Crest App Health Ecosystem, HR & SpO2 Monitoring(Matte Black)  ","1,199",3.4,"₹1,199",boAt
"Tokdis MX-1 Pro Bluetooth Calling Smartwatch - 1.69” LCD Display, Multiple Watch Faces, Sleep Monitor, Heart & SpO2 Monitoring, Multiple Sports Modes  ",799,3.1,₹799,Tokdis
Analog Day Date Functioning Stainless Steel Chain Watch for Men  ,319,3.8,₹319,TIMEWEAR
"Digital 24 Images Projector Watch for Kids Boys Watch, Diwali Gift, Birthday Return Gift, Best Digital Toy Watch for Boy's & Girl's BG-906  ",289,4.1,₹289,ADAMO
"boAt Newly Launched Wave Armour with 1.83” HD Display, Bluetooth Calling, Rugged Design, HR, SpO2 & Sleep Monitoring, Multiple Sports Modes, Multiple Watch Faces(Olive Green)  ","2,199",4.6,"₹2,199",boAt
"boAt Flash Edition Smart Watch with Activity Tracker, Multiple Sports Modes, 1.3"" Screen, 170+ Watch Faces, Sleep Monitor, Gesture, Camera & Music Control, IP68 & 7 Days Battery Life(Galaxy Blue)  ","1,499",4.0,"₹1,499",boAt
"Hammer Ace 3.0 Bluetooth Calling Smart Watch with Largest 1.85"" IPS Display, Dual Mode, Spo2, Heart Rate, Strong Metallic Body & Skin Friendly Strap (Black)  ","1,499",4.5,"₹1,499",Hammer
"Fire-Boltt Gladiator 1.96"" Biggest Display Smart Watch with Bluetooth Calling, Voice Assistant &123 Sports Modes, 8 Unique UI Interactions, SpO2, 24/7 Heart Rate Tracking, Rs 100 Off on UPI  ","2,499",4.0,"₹2,499",Fire-Boltt
"Bouncefit D20 Y68 Fitness Band Smartwatch – Single Touch Interface, Water Resistant, Workout Modes, Quick Charge Sports Smartwatch for Boys and Girls – Jet Black  ",480,3.0,₹480,Bouncefit
IBS Ultra Seris 8 Smart Watch Men Two Watch NFC Door Unlock Smartwatch Bluetooth Call Wireless Charge Fitness Bracelet (Ultra T-800 Orange)  ,"1,799",3.2,"₹1,799",IBS
Vintage Series Digital Dial Men's & Women's Watch  ,299,2.7,₹299,MIVAAN
"Noise Pulse Go Buzz Smart Watch with Advanced Bluetooth Calling, 1.69"" Display, 150+ Cloud Watch Face, SPo2, Heart Rate Tracking, 100 Sports Mode with Auto Detection, Longer Battery (Midnight Blue)  ","1,699",4.1,"₹1,699",Noise
Analog Day & Date Display Wrist Watch for Men & Boys (Black)  ,299,3.6,₹299,Matrix
Krishna Analog Analog Watch - for Boys & Girls  ,224,5.0,₹224,Generic
"Fire-Boltt Ring 3 Smart Watch 1.8"" Biggest Display Advanced Bluetooth Calling Chip, Voice Assistance,118 Sports Modes, in Built Calculator & Games, SpO2, Heart Rate Monitoring  ","1,999",4.2,"₹1,999",Fire-Boltt
"Smart Watch for men women boys 1.3"" OLED HD Display, Multiple watch Faces, SpO2 Monitoring, Sleep Monitor for Boys, Girls, Mens, Women & Kids for all Smartphones (ID 116 Plus Black) (ID116 Black)  ",432,4.6,₹432,LOCREST
Kids Black Dial Digital Watch Date and Time Watch with M4 White Band Watch for Kids Boys and Girls (Pack of-2) (White) (White)  ,299,3.3,₹299,Oculus
Stainless Steel Watch Series Analogue Men's Watch (Black Dial Mens Long Colored Strap) -W219  ,285,3.8,₹285,Shocknshop
WT005 Stainless Steel Chain Analog Wrist Watch for Men  ,359,3.9,₹359,LOUIS DEVIN
Simple Sport Digital Men’s Military Watches Electronic LED Time Black Wrist Watch  ,449,3.8,₹449,Shocknshop
Analog Boy's & Men's Watch (Blue Dial Blue Colored Strap)  ,266,3.6,₹266,REDUX
Digital Watch Shockproof Multi-Functional Automatic Black Color Strap Waterproof Digital Sports Watch for Mens Kids Watch for Boys Watch for Men Pack of 1 Watch Water Resistance Digital Watch  ,189,3.8,₹189,SELLORIA
Analogue - Digital Men's Watch (Black Dial Black Colored Strap)  ,799,3.8,₹799,V2A
Analogue Black Dial Men's Watch - SS-GR918-BLK-BLK  ,149,2.5,₹149,SWISSTYLE
Digital Dial Men's & Women's Watch(AB206-VSD)  ,299,2.3,₹299,CERO
"Fire-Boltt Gladiator 1.96"" Biggest Display Smart Watch with Bluetooth Calling, Voice Assistant &123 Sports Modes, 8 Unique UI Interactions, SpO2, 24/7 Heart Rate Tracking, Rs 100 Off on UPI  ","2,499",4.0,"₹2,499",Fire-Boltt
Multi Dial Chronograph Luxury Quartz Analog Watch for Men  ,339,3.7,₹339,SWADESI STUFF
"Noise ColorFit Pulse Grand Smart Watch with 1.69""(4.2cm) HD Display, 60 Sports Modes, 150 Watch Faces, Fast Charge, Spo2, Stress, Sleep, Heart Rate Monitoring & IP68 Waterproof (Lime Green)  ","1,299",4.0,"₹1,299",Noise
Analog Men's Watch (Multicolor Dial Multi Colored Strap)  ,129,3.1,₹129,hamt
"boAt Matrix Smart Watch with 1.65” AMOLED Display, Always On Mode, Slim Premium Design, Heart Rate & SpO2 Monitoring, Health Ecosystem & Multiple Sports Modes, 3ATM & 7 Days Battery Life(Pitch Black)  ","1,499",3.9,"₹1,499",boAt
Premium Casual Stylish Watch | Luxury Working Chronograph Watch for Men | Water-Resistant Branded Men's Wrist Watch with Stopwatch & Date Display - Timegrapher Red Leather Watch  ,"1,109",3.0,"₹1,109",Sylvi
New Edition i7 Pro Max All in One Series 7 Smart Watch with Fitness Tracker Heart Monitor Men Women Smart Watch Black  ,619,3.2,₹619,Generic
New LED Square Digital Watch for Boys & Girls  ,99,2.7,₹99,RPS FASHION WITH DEVICE OF R
"SHREENOVA XA Smart Watch for Men & Women Latest Bluetooth 1.3"" LED with Daily Activity Tracker, Heart Rate Sensor,Sports Gym Watch for All Boys & Girls - Black  ",295,3.0,₹295,Generic
Analog Men's Watch (Brown Dial Brown Colored Strap)  ,299,3.6,₹299,SWISSTONE
